	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
final_contigs_AG-910-A10_AG-910-A10_NODE_18_7	final_contigs_AG-910-A10	AG-910-A10_NODE_18	7	6067	7374	1	C	K02945	small subunit ribosomal protein S1								S1 RNA binding domain [PF00575.27]; Spt6, S1/OB domain [PF21710.1]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_18_8	final_contigs_AG-910-A10	AG-910-A10_NODE_18	8	7367	7660	1	D										Bacterial DNA-binding protein [PF00216.25]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_18_9	final_contigs_AG-910-A10	AG-910-A10_NODE_18	9	7657	8307	1	C	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]								Orotidine 5'-phosphate decarboxylase / HUMPS family [PF00215.28]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_18_10	final_contigs_AG-910-A10	AG-910-A10_NODE_18	10	8304	9566	1	C	K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]								Phosphoglucose isomerase [PF00342.23]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_1	final_contigs_AG-910-A10	AG-910-A10_NODE_19	1	1	1287	-1	C	K01887	arginyl-tRNA synthetase [EC:6.1.1.19]								tRNA synthetases class I (R) [PF00750.23]; Arginyl tRNA synthetase N terminal domain [PF03485.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_2	final_contigs_AG-910-A10	AG-910-A10_NODE_19	2	1277	1846	-1	C	K02356	elongation factor P								Elongation factor P, C-terminal [PF09285.15]; Elongation factor P (EF-P) KOW-like domain [PF08207.16]; Elongation factor P (EF-P) OB domain [PF01132.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_3	final_contigs_AG-910-A10	AG-910-A10_NODE_19	3	1888	2754	1	D										Protein of unknown function (DUF1295) [PF06966.16]; 3-oxo-5-alpha-steroid 4-dehydrogenase [PF02544.20]; Ergosterol biosynthesis ERG4/ERG24 family [PF01222.21]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_4	final_contigs_AG-910-A10	AG-910-A10_NODE_19	4	2839	3609	1	D										Protein of unknown function (DUF3450) [PF11932.12]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_5	final_contigs_AG-910-A10	AG-910-A10_NODE_19	5	3606	4994	1	C	K03561	biopolymer transport protein ExbB								MotA/TolQ/ExbB proton channel family [PF01618.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_6	final_contigs_AG-910-A10	AG-910-A10_NODE_19	6	4994	5521	1	C	K03561	biopolymer transport protein ExbB								MotA/TolQ/ExbB proton channel family [PF01618.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_7	final_contigs_AG-910-A10	AG-910-A10_NODE_19	7	5533	5943	1	C	K03559	biopolymer transport protein ExbD								Biopolymer transport protein ExbD/TolR [PF02472.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_8	final_contigs_AG-910-A10	AG-910-A10_NODE_19	8	5951	6643	1	C	K03832	periplasmic protein TonB								Gram-negative bacterial TonB protein C-terminal [PF03544.18]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_9	final_contigs_AG-910-A10	AG-910-A10_NODE_19	9	6646	8118	1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_19_10	final_contigs_AG-910-A10	AG-910-A10_NODE_19	10	8121	8708	-1	C	K00560	thymidylate synthase [EC:2.1.1.45]								Thymidylate synthase [PF00303.23]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_1	final_contigs_AG-910-A10	AG-910-A10_NODE_2	1	2	142	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_2	final_contigs_AG-910-A10	AG-910-A10_NODE_2	2	139	708	-1	C	K07101	uncharacterized protein								Phosphoribosyl transferase domain [PF00156.31]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_3	final_contigs_AG-910-A10	AG-910-A10_NODE_2	3	768	3086	-1	C	K02014	iron complex outermembrane recepter protein	MER0196960	I39	MER0196960 - family I39 unassigned peptidase inhibitors (Spirosoma linguale) [I39.UPW]#I39#{inhibitor unit: 79-266}~source ADB40454~	False	0.372	111.0	2.914e-23	TonB-dependent Receptor Plug Domain [PF07715.19]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_4	final_contigs_AG-910-A10	AG-910-A10_NODE_2	4	3458	4747	1	C	K06901	adenine/guanine/hypoxanthine permease								Permease family [PF00860.24]; Sulfate permease family [PF00916.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_5	final_contigs_AG-910-A10	AG-910-A10_NODE_2	5	4750	6276	1	D			MER0503984	S09X	MER0503984 - family S9 unassigned peptidases (Glaciecola psychrophila) [S09.UPW]#S09X#{peptidase unit: 95-453}~source YP_007545765~	False	0.42	262.0	1.245e-73	Carboxylesterase family [PF00135.32]; BD-FAE [PF20434.2]; alpha/beta hydrolase fold [PF07859.17]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_6	final_contigs_AG-910-A10	AG-910-A10_NODE_2	6	6273	6863	-1	D										Acyltransferase [PF01553.25]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_7	final_contigs_AG-910-A10	AG-910-A10_NODE_2	7	6872	7153	-1	D										6-O-methylguanine DNA methyltransferase, DNA binding domain [PF01035.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_8	final_contigs_AG-910-A10	AG-910-A10_NODE_2	8	7154	7993	-1	D										Glyoxalase-like domain [PF13468.10]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF13669.10]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.29]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_9	final_contigs_AG-910-A10	AG-910-A10_NODE_2	9	8001	8573	-1	C	K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]								Phosphorylase superfamily [PF01048.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_10	final_contigs_AG-910-A10	AG-910-A10_NODE_2	10	8537	9172	-1	D										PhoP regulatory network protein YrbL [PF10707.13]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_11	final_contigs_AG-910-A10	AG-910-A10_NODE_2	11	9179	9505	-1	C	K03297	small multidrug resistance pump								Small Multidrug Resistance protein [PF00893.23]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_12	final_contigs_AG-910-A10	AG-910-A10_NODE_2	12	9524	9997	-1	D										MerC mercury resistance protein [PF03203.18]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_13	final_contigs_AG-910-A10	AG-910-A10_NODE_2	13	10015	10176	1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_14	final_contigs_AG-910-A10	AG-910-A10_NODE_2	14	10184	11224	-1	E															2
final_contigs_AG-910-A10_AG-910-A10_NODE_2_15	final_contigs_AG-910-A10	AG-910-A10_NODE_2	15	11230	12447	-1	D										Right handed beta helix region [PF13229.10]; Periplasmic copper-binding protein (NosD) [PF05048.17]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_16	final_contigs_AG-910-A10	AG-910-A10_NODE_2	16	12556	14292	-1	D										Sulfatase [PF00884.27]; N-sulphoglucosamine sulphohydrolase, C-terminal [PF16347.9]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_17	final_contigs_AG-910-A10	AG-910-A10_NODE_2	17	14289	14762	-1	D										SnoaL-like domain [PF13474.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_18	final_contigs_AG-910-A10	AG-910-A10_NODE_2	18	14749	15495	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_19	final_contigs_AG-910-A10	AG-910-A10_NODE_2	19	15529	16212	1	D										Endonuclease/Exonuclease/phosphatase family [PF03372.27]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_20	final_contigs_AG-910-A10	AG-910-A10_NODE_2	20	16221	16508	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_21	final_contigs_AG-910-A10	AG-910-A10_NODE_2	21	16540	16935	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_22	final_contigs_AG-910-A10	AG-910-A10_NODE_2	22	16959	17213	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_23	final_contigs_AG-910-A10	AG-910-A10_NODE_2	23	17217	17675	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_24	final_contigs_AG-910-A10	AG-910-A10_NODE_2	24	18136	19962	-1	C	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	MER0283548	C44	MER0283548 - family C44 non-peptidase homologues (Oceanimonas sp. GK1) [C44.UNW]#C44#{peptidase unit: 2-231}~source YP_005090962~	False	0.551	244.0	1.716e-66	Glutamine amidotransferase domain [PF13522.10]; SIS domain [PF01380.26]; Glutamine amidotransferase domain [PF13537.10]; Glutamine amidotransferases class-II [PF13230.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_25	final_contigs_AG-910-A10	AG-910-A10_NODE_2	25	19965	21317	-1	C	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]								Nucleotidyl transferase [PF00483.27]; MobA-like NTP transferase domain [PF12804.11]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_26	final_contigs_AG-910-A10	AG-910-A10_NODE_2	26	21341	21754	-1	C	K02114	F-type H+-transporting ATPase subunit epsilon								ATP synthase, Delta/Epsilon chain, beta-sandwich domain [PF02823.20]; ATP synthase, Delta/Epsilon chain, long alpha-helix domain [PF00401.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_27	final_contigs_AG-910-A10	AG-910-A10_NODE_2	27	21754	23130	-1	C	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]								ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.29]; ATP synthase alpha/beta family, beta-barrel domain [PF02874.27]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_28	final_contigs_AG-910-A10	AG-910-A10_NODE_2	28	23142	24008	-1	C	K02115	F-type H+-transporting ATPase subunit gamma								ATP synthase [PF00231.23]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_29	final_contigs_AG-910-A10	AG-910-A10_NODE_2	29	24012	25556	-1	C	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]								ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.29]; ATP synthase alpha/beta chain, C terminal domain [PF00306.31]; ATP synthase alpha/beta family, beta-barrel domain [PF02874.27]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_30	final_contigs_AG-910-A10	AG-910-A10_NODE_2	30	25566	26099	-1	D										ATP synthase delta (OSCP) subunit [PF00213.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_31	final_contigs_AG-910-A10	AG-910-A10_NODE_2	31	26100	26570	-1	C	K02109	F-type H+-transporting ATPase subunit b								ATP synthase B/B' CF(0) [PF00430.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_32	final_contigs_AG-910-A10	AG-910-A10_NODE_2	32	26577	26804	-1	C	K02110	F-type H+-transporting ATPase subunit c								ATP synthase subunit C [PF00137.25]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_33	final_contigs_AG-910-A10	AG-910-A10_NODE_2	33	26837	27709	-1	C	K02108	F-type H+-transporting ATPase subunit a								ATP synthase A chain [PF00119.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_34	final_contigs_AG-910-A10	AG-910-A10_NODE_2	34	27767	28597	-1	C	K03497	ParB family transcriptional regulator, chromosome partitioning protein								ParB/Sulfiredoxin domain [PF02195.22]; HTH domain found in ParB protein [PF17762.5]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_35	final_contigs_AG-910-A10	AG-910-A10_NODE_2	35	28590	29351	-1	C	K03496	chromosome partitioning protein								AAA domain [PF13614.10]; Cellulose biosynthesis protein BcsQ [PF06564.16]; VirC1 protein [PF07015.15]; NUBPL iron-transfer P-loop NTPase [PF10609.13]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.27]; ATPase MipZ [PF09140.15]; Anion-transporting ATPase [PF02374.19]; 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family [PF00142.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_36	final_contigs_AG-910-A10	AG-910-A10_NODE_2	36	29344	29910	-1	C	K03501	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]								rRNA small subunit methyltransferase G [PF02527.19]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_37	final_contigs_AG-910-A10	AG-910-A10_NODE_2	37	29900	31720	-1	C	K03495	tRNA uridine 5-carboxymethylaminomethyl modification enzyme								Glucose inhibited division protein A [PF01134.26]; tRNA modifying enzyme MnmG/GidA C-terminal helical bundle [PF13932.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_38	final_contigs_AG-910-A10	AG-910-A10_NODE_2	38	31929	33248	-1	C	K03650	tRNA modification GTPase [EC:3.6.-.-]								MnmE helical domain [PF12631.11]; GTP-binding protein TrmE N-terminus [PF10396.13]; 50S ribosome-binding GTPase [PF01926.27]; Ras family [PF00071.26]; Ferrous iron transport protein B [PF02421.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_39	final_contigs_AG-910-A10	AG-910-A10_NODE_2	39	33249	34784	-1	C	K03217	YidC/Oxa1 family membrane protein insertase								60Kd inner membrane protein [PF02096.24]; YidC periplasmic domain [PF14849.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_40	final_contigs_AG-910-A10	AG-910-A10_NODE_2	40	34785	35153	-1	C	K03536	ribonuclease P protein component [EC:3.1.26.5]								Ribonuclease P [PF00825.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_41	final_contigs_AG-910-A10	AG-910-A10_NODE_2	41	35360	36655	1	C	K02313	chromosomal replication initiator protein								Bacterial dnaA  protein [PF00308.22]; Bacterial dnaA protein helix-turn-helix [PF08299.15]; IstB-like ATP binding protein [PF01695.21]; DnaA N-terminal domain [PF11638.12]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_42	final_contigs_AG-910-A10	AG-910-A10_NODE_2	42	36655	37758	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.20]; DNA polymerase III beta subunit, N-terminal domain [PF00712.23]; DNA polymerase III beta subunit, C-terminal domain [PF02768.19]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_43	final_contigs_AG-910-A10	AG-910-A10_NODE_2	43	37762	38853	1	C	K03629	DNA replication and repair protein RecF								AAA ATPase domain [PF13175.10]; RecF/RecN/SMC N terminal domain [PF02463.23]; AAA domain [PF13476.10]; Protein of unknown function (DUF2813) [PF11398.12]; P-loop containing region of AAA domain [PF13555.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_44	final_contigs_AG-910-A10	AG-910-A10_NODE_2	44	38834	40759	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.29]; DNA gyrase B subunit, carboxyl terminus [PF00986.25]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.30]; Toprim domain [PF01751.26]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_45	final_contigs_AG-910-A10	AG-910-A10_NODE_2	45	40777	41337	-1	C	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]								Acyltransferase [PF01553.25]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_46	final_contigs_AG-910-A10	AG-910-A10_NODE_2	46	41493	42854	-1	C	K01880	glycyl-tRNA synthetase [EC:6.1.1.14]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.29]; Anticodon binding domain [PF03129.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_47	final_contigs_AG-910-A10	AG-910-A10_NODE_2	47	42927	43784	1	D										Bacterial lipid A biosynthesis acyltransferase [PF03279.17]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_48	final_contigs_AG-910-A10	AG-910-A10_NODE_2	48	43785	45215	-1	C	K03498	trk/ktr system potassium uptake protein								Cation transport protein [PF02386.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_49	final_contigs_AG-910-A10	AG-910-A10_NODE_2	49	45216	46571	-1	C	K03499	trk/ktr system potassium uptake protein								TrkA-N domain [PF02254.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_50	final_contigs_AG-910-A10	AG-910-A10_NODE_2	50	46621	47538	-1	C	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]								Formyl transferase [PF00551.23]; Formyl transferase, C-terminal domain [PF02911.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_51	final_contigs_AG-910-A10	AG-910-A10_NODE_2	51	47566	48069	-1	C	K01462	peptide deformylase [EC:3.5.1.88]								Polypeptide deformylase [PF01327.25]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_52	final_contigs_AG-910-A10	AG-910-A10_NODE_2	52	48121	48606	1	C	K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]								AIR carboxylase [PF00731.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_53	final_contigs_AG-910-A10	AG-910-A10_NODE_2	53	48610	49155	1	C	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]								Telomere recombination [PF01300.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_54	final_contigs_AG-910-A10	AG-910-A10_NODE_2	54	49155	50051	1	C	K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]								Coproporphyrinogen III oxidase [PF01218.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_55	final_contigs_AG-910-A10	AG-910-A10_NODE_2	55	50055	50876	1	D										Shikimate dehydrogenase substrate binding domain [PF08501.15]; Shikimate / quinate 5-dehydrogenase [PF01488.24]; Shikimate 5'-dehydrogenase C-terminal domain [PF18317.5]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_56	final_contigs_AG-910-A10	AG-910-A10_NODE_2	56	51114	52268	1	C	K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]								Cytochrome C oxidase subunit II, periplasmic domain [PF00116.24]; Cytochrome C oxidase subunit II, transmembrane domain [PF02790.19]; Cytochrome C oxidase, cbb3-type, subunit III [PF13442.10]; Cytochrome c [PF00034.25]					1
final_contigs_AG-910-A10_AG-910-A10_NODE_2_57	final_contigs_AG-910-A10	AG-910-A10_NODE_2	57	52284	53867	1	C	K02274	cytochrome c oxidase subunit I [EC:7.1.1.9]								Cytochrome C and Quinol oxidase polypeptide I [PF00115.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_58	final_contigs_AG-910-A10	AG-910-A10_NODE_2	58	53867	54418	1	C	K02258	cytochrome c oxidase assembly protein subunit 11								Cytochrome c oxidase assembly protein CtaG/Cox11 [PF04442.18]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_59	final_contigs_AG-910-A10	AG-910-A10_NODE_2	59	54420	55325	1	C	K02276	cytochrome c oxidase subunit III [EC:7.1.1.9]								Cytochrome c oxidase subunit III [PF00510.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_60	final_contigs_AG-910-A10	AG-910-A10_NODE_2	60	55320	55538	-1	D										Protein of unknown function (DUF2909) [PF11137.12]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_61	final_contigs_AG-910-A10	AG-910-A10_NODE_2	61	55563	56258	1	C	K14998	surfeit locus 1 family protein								SURF1 family [PF02104.19]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_62	final_contigs_AG-910-A10	AG-910-A10_NODE_2	62	56251	56802	1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_63	final_contigs_AG-910-A10	AG-910-A10_NODE_2	63	56799	57773	1	C	K02259	heme a synthase [EC:1.17.99.9]								Cytochrome oxidase assembly protein [PF02628.19]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_64	final_contigs_AG-910-A10	AG-910-A10_NODE_2	64	57770	58627	1	C	K02257	heme o synthase [EC:2.5.1.141]								UbiA prenyltransferase family [PF01040.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_65	final_contigs_AG-910-A10	AG-910-A10_NODE_2	65	58629	59273	1	C	K07152	protein SCO1								SCO1/SenC [PF02630.18]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_66	final_contigs_AG-910-A10	AG-910-A10_NODE_2	66	59316	59765	1	D										Tetratricopeptide repeat [PF13429.10]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.11]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_67	final_contigs_AG-910-A10	AG-910-A10_NODE_2	67	59781	60524	1	D										Sir2 family [PF02146.21]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_68	final_contigs_AG-910-A10	AG-910-A10_NODE_2	68	60521	61579	-1	D										Phosphotransferase enzyme family [PF01636.27]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_69	final_contigs_AG-910-A10	AG-910-A10_NODE_2	69	61579	62679	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_70	final_contigs_AG-910-A10	AG-910-A10_NODE_2	70	62683	63681	-1	C	K00344	NADPH:quinone reductase [EC:1.6.5.5]								Zinc-binding dehydrogenase [PF00107.30]; Alcohol dehydrogenase GroES-like domain [PF08240.16]; Zinc-binding dehydrogenase [PF13602.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_71	final_contigs_AG-910-A10	AG-910-A10_NODE_2	71	63684	65213	-1	C	K01919	glutamate--cysteine ligase [EC:6.3.2.2]								Glutamate-cysteine ligase [PF04262.18]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_72	final_contigs_AG-910-A10	AG-910-A10_NODE_2	72	65224	66744	-1	C	K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]								Phosphoenolpyruvate carboxykinase [PF01293.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_73	final_contigs_AG-910-A10	AG-910-A10_NODE_2	73	66769	67296	-1	C	K03611	protein dithiol:quinone oxidoreductase [EC:1.8.5.9]								Disulfide bond formation protein DsbB [PF02600.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_74	final_contigs_AG-910-A10	AG-910-A10_NODE_2	74	67351	70026	1	C	K02335	DNA polymerase I [EC:2.7.7.7]								DNA polymerase family A [PF00476.24]; 5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.20]; 5'-3' exonuclease, C-terminal SAM fold [PF01367.24]; 3'-5' exonuclease [PF01612.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_75	final_contigs_AG-910-A10	AG-910-A10_NODE_2	75	70027	70530	-1	E															0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_76	final_contigs_AG-910-A10	AG-910-A10_NODE_2	76	70530	71081	-1	C	K03978	GTP-binding protein								50S ribosome-binding GTPase [PF01926.27]; MnmE helical domain [PF12631.11]; Elongation factor Tu GTP binding domain [PF00009.31]; Ferrous iron transport protein B [PF02421.22]; Septin [PF00735.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_77	final_contigs_AG-910-A10	AG-910-A10_NODE_2	77	71203	71805	1	C	K03673	protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]								DSBA-like thioredoxin domain [PF01323.24]; Thioredoxin [PF13462.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_78	final_contigs_AG-910-A10	AG-910-A10_NODE_2	78	71809	72390	1	D										Copper binding proteins, plastocyanin/azurin family [PF00127.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_79	final_contigs_AG-910-A10	AG-910-A10_NODE_2	79	72381	73088	-1	D										Haloacid dehalogenase-like hydrolase [PF13419.10]; haloacid dehalogenase-like hydrolase [PF00702.30]; HAD-hyrolase-like [PF13242.10]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_80	final_contigs_AG-910-A10	AG-910-A10_NODE_2	80	73091	73987	-1	D										Phage integrase family [PF00589.26]; Phage integrase, N-terminal SAM-like domain [PF02899.21]; Integrase [PF12835.11]; Archaeal phage integrase [PF16795.9]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_81	final_contigs_AG-910-A10	AG-910-A10_NODE_2	81	73987	74616	-1	C	K09921	uncharacterized protein								Protein of unknown function, DUF484 [PF04340.16]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_82	final_contigs_AG-910-A10	AG-910-A10_NODE_2	82	74620	76014	-1	C	K01251	adenosylhomocysteinase [EC:3.13.2.1]								S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.25]; S-adenosyl-L-homocysteine hydrolase [PF05221.21]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_83	final_contigs_AG-910-A10	AG-910-A10_NODE_2	83	76024	77109	-1	C	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]								S-adenosylmethionine synthetase, C-terminal domain [PF02773.20]; S-adenosylmethionine synthetase, central domain [PF02772.20]; S-adenosylmethionine synthetase, N-terminal domain [PF00438.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_84	final_contigs_AG-910-A10	AG-910-A10_NODE_2	84	77211	79196	1	C	K00615	transketolase [EC:2.2.1.1]								Transketolase, thiamine diphosphate binding domain [PF00456.25]; Transketolase, pyrimidine binding domain [PF02779.28]; Transketolase, C-terminal domain [PF02780.24]; Dehydrogenase E1 component [PF00676.24]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_85	final_contigs_AG-910-A10	AG-910-A10_NODE_2	85	79193	80329	1	C	K00927	phosphoglycerate kinase [EC:2.7.2.3]								Phosphoglycerate kinase [PF00162.23]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_86	final_contigs_AG-910-A10	AG-910-A10_NODE_2	86	80332	81336	1	C	K01623	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]								Fructose-bisphosphate aldolase class-I [PF00274.23]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_87	final_contigs_AG-910-A10	AG-910-A10_NODE_2	87	81340	81777	1	C	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]								D-Tyr-tRNA(Tyr) deacylase [PF02580.20]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_88	final_contigs_AG-910-A10	AG-910-A10_NODE_2	88	81780	82364	1	C	K22522	cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]								Possible lysine decarboxylase [PF03641.18]; SLOG cluster4 family [PF18306.5]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_89	final_contigs_AG-910-A10	AG-910-A10_NODE_2	89	82361	83068	-1	C	K03118	sec-independent protein translocase protein TatC								Sec-independent protein translocase protein (TatC) [PF00902.22]					0
final_contigs_AG-910-A10_AG-910-A10_NODE_2_90	final_contigs_AG-910-A10	AG-910-A10_NODE_2	90	83052	83306	-1	D										mttA/Hcf106 family [PF02416.20]					0
